Gene Ontology	Bacteria	Paper ID
immune response	Legionella pneumophila	27374884
innate immune response	Legionella pneumophila	27374884
immune system process	Legionella pneumophila	28138020
immune response	Legionella pneumophila	28138020
innate immune response	Legionella pneumophila	28138020
immune system process	Staphylococcus aureus	28008253
immune response	Staphylococcus aureus	28008253
innate immune response	Staphylococcus aureus	28008253
immune system process	Staphylococcus aureus	29950665
immune response	Staphylococcus aureus	29950665
innate immune response	Staphylococcus aureus	29950665
immune system process	Staphylococcus aureus	26267447
immune response	Staphylococcus aureus	26267447
innate immune response	Staphylococcus aureus	26267447
immune system process	Staphylococcus aureus	33275131
immune response	Staphylococcus aureus	33275131
innate immune response	Staphylococcus aureus	33275131
immune system process	Staphylococcus aureus	26919863
immune response	Staphylococcus aureus	26919863
innate immune response	Staphylococcus aureus	26919863
immune system process	Staphylococcus aureus	22371493
immune response	Staphylococcus aureus	22371493
innate immune response	Staphylococcus aureus	22371493
immune system process	Staphylococcus aureus	33429675
immune response	Staphylococcus aureus	33429675
innate immune response	Staphylococcus aureus	33429675
innate immune response	Staphylococcus aureus	27154427
immune system process	Staphylococcus aureus	32849533
immune response	Staphylococcus aureus	32849533
innate immune response	Staphylococcus aureus	32849533
immune system process	Staphylococcus aureus	27854308
immune response	Staphylococcus aureus	27854308
innate immune response	Staphylococcus aureus	27854308
immune system process	Staphylococcus aureus	23223142
immune response	Staphylococcus aureus	23223142
innate immune response	Staphylococcus aureus	23223142
immune system process	Staphylococcus aureus	32999082
immune response	Staphylococcus aureus	32999082
innate immune response	Staphylococcus aureus	32999082
immune response	Staphylococcus aureus	29400698
innate immune response	Staphylococcus aureus	29400698
immune system process	Staphylococcus aureus	22719247
immune response	Staphylococcus aureus	22719247
innate immune response	Staphylococcus aureus	22719247
immune system process	Staphylococcus aureus	15138171
immune response	Staphylococcus aureus	15138171
innate immune response	Staphylococcus aureus	15138171
immune system process	Staphylococcus aureus	25474640
immune response	Staphylococcus aureus	25474640
innate immune response	Staphylococcus aureus	25474640
immune system process	Staphylococcus aureus	25398459
immune response	Staphylococcus aureus	25398459
innate immune response	Staphylococcus aureus	25398459
immune system process	Staphylococcus aureus	22768879
immune response	Staphylococcus aureus	22768879
innate immune response	Staphylococcus aureus	22768879
immune system process	Staphylococcus aureus	23867706
immune response	Staphylococcus aureus	23867706
innate immune response	Staphylococcus aureus	23867706
innate immune response	Staphylococcus aureus	32919233
innate immune response	Staphylococcus aureus	29258446
immune system process	Staphylococcus aureus	15855642
immune response	Staphylococcus aureus	15855642
innate immune response	Staphylococcus aureus	15855642
immune system process	Staphylococcus aureus	22825451
immune response	Staphylococcus aureus	22825451
innate immune response	Staphylococcus aureus	22825451
immune system process	Staphylococcus aureus	28848552
immune response	Staphylococcus aureus	28848552
innate immune response	Staphylococcus aureus	28848552
immune system process	Staphylococcus aureus	32413239
immune response	Staphylococcus aureus	32413239
innate immune response	Staphylococcus aureus	32413239
immune system process	Staphylococcus aureus	25964469
immune response	Staphylococcus aureus	25964469
innate immune response	Staphylococcus aureus	25964469
immune system process	Staphylococcus aureus	17873581
immune response	Staphylococcus aureus	17873581
innate immune response	Staphylococcus aureus	17873581
immune system process	Staphylococcus aureus	32866212
immune response	Staphylococcus aureus	32866212
innate immune response	Staphylococcus aureus	32866212
immune system process	Staphylococcus aureus	31819212
immune response	Staphylococcus aureus	31819212
innate immune response	Staphylococcus aureus	31819212
immune system process	Staphylococcus aureus	27777981
immune response	Staphylococcus aureus	27777981
innate immune response	Staphylococcus aureus	27777981
immune system process	Staphylococcus aureus	27404038
immune response	Staphylococcus aureus	27404038
innate immune response	Staphylococcus aureus	27404038
immune system process	Staphylococcus aureus	23601689
immune response	Staphylococcus aureus	23601689
innate immune response	Staphylococcus aureus	23601689
immune system process	Staphylococcus aureus	27884946
immune response	Staphylococcus aureus	27884946
innate immune response	Staphylococcus aureus	27884946
immune system process	Staphylococcus aureus	21731485
immune response	Staphylococcus aureus	21731485
innate immune response	Staphylococcus aureus	21731485
immune system process	Staphylococcus aureus	10805806
immune response	Staphylococcus aureus	10805806
innate immune response	Staphylococcus aureus	10805806
immune system process	Staphylococcus aureus	24031740
immune response	Staphylococcus aureus	24031740
innate immune response	Staphylococcus aureus	24031740
immune system process	Staphylococcus aureus	28861524
immune response	Staphylococcus aureus	28861524
innate immune response	Staphylococcus aureus	28861524
immune system process	Staphylococcus aureus	33327533
immune response	Staphylococcus aureus	33327533
innate immune response	Staphylococcus aureus	33327533
immune system process	Staphylococcus aureus	29887963
immune response	Staphylococcus aureus	29887963
innate immune response	Staphylococcus aureus	29887963
immune response	Staphylococcus aureus	22675448
innate immune response	Staphylococcus aureus	22675448
immune system process	Staphylococcus aureus	26928034
immune response	Staphylococcus aureus	26928034
innate immune response	Staphylococcus aureus	26928034
immune system process	Staphylococcus aureus	12574517
immune response	Staphylococcus aureus	12574517
innate immune response	Staphylococcus aureus	12574517
immune system process	Staphylococcus aureus	20670815
immune response	Staphylococcus aureus	20670815
innate immune response	Staphylococcus aureus	20670815
immune system process	Staphylococcus aureus	29997126
immune response	Staphylococcus aureus	29997126
innate immune response	Staphylococcus aureus	29997126
immune system process	Staphylococcus aureus	17215377
immune response	Staphylococcus aureus	17215377
innate immune response	Staphylococcus aureus	17215377
immune system process	Staphylococcus aureus	24242237
immune response	Staphylococcus aureus	24242237
innate immune response	Staphylococcus aureus	24242237
immune system process	Staphylococcus aureus	26974438
immune response	Staphylococcus aureus	26974438
innate immune response	Staphylococcus aureus	26974438
immune system process	Staphylococcus aureus	32194564
immune response	Staphylococcus aureus	32194564
innate immune response	Staphylococcus aureus	32194564
immune system process	Staphylococcus aureus	24504957
immune response	Staphylococcus aureus	24504957
innate immune response	Staphylococcus aureus	24504957
immune system process	Staphylococcus aureus	22423970
immune response	Staphylococcus aureus	22423970
innate immune response	Staphylococcus aureus	22423970
immune system process	Staphylococcus aureus	31146794
immune response	Staphylococcus aureus	31146794
innate immune response	Staphylococcus aureus	31146794
immune system process	Staphylococcus aureus	23060626
immune response	Staphylococcus aureus	23060626
innate immune response	Staphylococcus aureus	23060626
immune system process	Staphylococcus aureus	29731960
immune response	Staphylococcus aureus	29731960
innate immune response	Staphylococcus aureus	29731960
immune system process	Staphylococcus aureus	19444424
immune response	Staphylococcus aureus	19444424
innate immune response	Staphylococcus aureus	19444424
immune system process	Staphylococcus aureus	25854005
immune response	Staphylococcus aureus	25854005
innate immune response	Staphylococcus aureus	25854005
immune system process	Staphylococcus aureus	16239556
immune response	Staphylococcus aureus	16239556
innate immune response	Staphylococcus aureus	16239556
immune system process	Staphylococcus aureus	16778986
immune response	Staphylococcus aureus	16778986
innate immune response	Staphylococcus aureus	16778986
immune system process	Staphylococcus aureus	22581932
immune response	Staphylococcus aureus	22581932
innate immune response	Staphylococcus aureus	22581932
immune system process	Staphylococcus aureus	21519920
immune response	Staphylococcus aureus	21519920
innate immune response	Staphylococcus aureus	21519920
immune system process	Staphylococcus aureus	32532880
immune response	Staphylococcus aureus	32532880
innate immune response	Staphylococcus aureus	32532880
immune system process	Staphylococcus aureus	29034104
immune response	Staphylococcus aureus	29034104
innate immune response	Staphylococcus aureus	29034104
immune system process	Staphylococcus aureus	26838052
immune response	Staphylococcus aureus	26838052
innate immune response	Staphylococcus aureus	26838052
immune system process	Staphylococcus aureus	30449314
immune response	Staphylococcus aureus	30449314
innate immune response	Staphylococcus aureus	30449314
immune system process	Staphylococcus aureus	32855654
immune response	Staphylococcus aureus	32855654
innate immune response	Staphylococcus aureus	32855654
immune system process	Staphylococcus aureus	33132594
immune response	Staphylococcus aureus	33132594
innate immune response	Staphylococcus aureus	33132594
immune system process	Staphylococcus aureus	33263242
immune response	Staphylococcus aureus	33263242
innate immune response	Staphylococcus aureus	33263242
immune system process	Staphylococcus aureus	30930888
immune response	Staphylococcus aureus	30930888
innate immune response	Staphylococcus aureus	30930888
immune system process	Staphylococcus aureus	29578208
immune response	Staphylococcus aureus	29578208
innate immune response	Staphylococcus aureus	29578208
immune system process	Staphylococcus aureus	32446884
immune response	Staphylococcus aureus	32446884
innate immune response	Staphylococcus aureus	32446884
immune system process	Staphylococcus aureus	26870008
immune response	Staphylococcus aureus	26870008
innate immune response	Staphylococcus aureus	26870008
immune system process	Staphylococcus aureus	30503861
immune response	Staphylococcus aureus	30503861
innate immune response	Staphylococcus aureus	30503861
immune system process	Staphylococcus aureus	12757622
immune response	Staphylococcus aureus	12757622
innate immune response	Staphylococcus aureus	12757622
immune system process	Staphylococcus aureus	32699012
immune response	Staphylococcus aureus	32699012
innate immune response	Staphylococcus aureus	32699012
immune system process	Staphylococcus aureus	28235783
immune response	Staphylococcus aureus	28235783
innate immune response	Staphylococcus aureus	28235783
immune system process	Staphylococcus aureus	18261909
immune response	Staphylococcus aureus	18261909
innate immune response	Staphylococcus aureus	18261909
immune system process	Staphylococcus aureus	27185828
immune response	Staphylococcus aureus	27185828
innate immune response	Staphylococcus aureus	27185828
immune system process	Staphylococcus aureus	25525300
immune response	Staphylococcus aureus	25525300
innate immune response	Staphylococcus aureus	25525300
immune system process	Staphylococcus aureus	27916738
immune response	Staphylococcus aureus	27916738
innate immune response	Staphylococcus aureus	27916738
immune system process	Staphylococcus aureus	24098127
immune response	Staphylococcus aureus	24098127
innate immune response	Staphylococcus aureus	24098127
immune system process	Staphylococcus aureus	30791599
immune response	Staphylococcus aureus	30791599
innate immune response	Staphylococcus aureus	30791599
immune system process	Staphylococcus aureus	25362197
immune response	Staphylococcus aureus	25362197
innate immune response	Staphylococcus aureus	25362197
immune response	Staphylococcus aureus	23319733
innate immune response	Staphylococcus aureus	23319733
immune system process	Staphylococcus aureus	32210021
immune response	Staphylococcus aureus	32210021
innate immune response	Staphylococcus aureus	32210021
immune system process	Staphylococcus aureus	26184232
immune response	Staphylococcus aureus	26184232
innate immune response	Staphylococcus aureus	26184232
innate immune response	Staphylococcus aureus	24820433
immune system process	Staphylococcus aureus	15340057
immune response	Staphylococcus aureus	15340057
innate immune response	Staphylococcus aureus	15340057
immune system process	Staphylococcus aureus	29655560
immune response	Staphylococcus aureus	29655560
innate immune response	Staphylococcus aureus	29655560
immune system process	Staphylococcus aureus	32867221
immune response	Staphylococcus aureus	32867221
innate immune response	Staphylococcus aureus	32867221
immune system process	Staphylococcus aureus	33284949
immune response	Staphylococcus aureus	33284949
innate immune response	Staphylococcus aureus	33284949
immune system process	Staphylococcus aureus	31781115
immune response	Staphylococcus aureus	31781115
innate immune response	Staphylococcus aureus	31781115
immune system process	Staphylococcus aureus	22928065
immune response	Staphylococcus aureus	22928065
innate immune response	Staphylococcus aureus	22928065
immune system process	Staphylococcus aureus	15456519
immune response	Staphylococcus aureus	15456519
innate immune response	Staphylococcus aureus	15456519
immune system process	Staphylococcus aureus	27615723
immune response	Staphylococcus aureus	27615723
innate immune response	Staphylococcus aureus	27615723
immune system process	Staphylococcus aureus	25496447
immune response	Staphylococcus aureus	25496447
innate immune response	Staphylococcus aureus	25496447
immune system process	Staphylococcus aureus	24614014
immune response	Staphylococcus aureus	24614014
innate immune response	Staphylococcus aureus	24614014
immune system process	Staphylococcus aureus	25538689
immune response	Staphylococcus aureus	25538689
innate immune response	Staphylococcus aureus	25538689
immune system process	Staphylococcus aureus	32823867
immune response	Staphylococcus aureus	32823867
innate immune response	Staphylococcus aureus	32823867
immune system process	Staphylococcus aureus	26644380
immune response	Staphylococcus aureus	26644380
innate immune response	Staphylococcus aureus	26644380
immune system process	Staphylococcus aureus	27965455
immune response	Staphylococcus aureus	27965455
innate immune response	Staphylococcus aureus	27965455
immune system process	Staphylococcus aureus	22484733
immune response	Staphylococcus aureus	22484733
innate immune response	Staphylococcus aureus	22484733
immune system process	Staphylococcus aureus	31993376
immune response	Staphylococcus aureus	31993376
innate immune response	Staphylococcus aureus	31993376
immune system process	Staphylococcus aureus	32094229
immune response	Staphylococcus aureus	32094229
innate immune response	Staphylococcus aureus	32094229
immune system process	Staphylococcus aureus	24843148
immune response	Staphylococcus aureus	24843148
innate immune response	Staphylococcus aureus	24843148
immune system process	Staphylococcus aureus	30978245
immune response	Staphylococcus aureus	30978245
innate immune response	Staphylococcus aureus	30978245
immune system process	Staphylococcus aureus	15664951
immune response	Staphylococcus aureus	15664951
innate immune response	Staphylococcus aureus	15664951
immune system process	Staphylococcus aureus	23322784
immune response	Staphylococcus aureus	23322784
innate immune response	Staphylococcus aureus	23322784
immune system process	Staphylococcus aureus	27632082
immune response	Staphylococcus aureus	27632082
innate immune response	Staphylococcus aureus	27632082
immune system process	Staphylococcus aureus	15695583
immune response	Staphylococcus aureus	15695583
innate immune response	Staphylococcus aureus	15695583
immune system process	Staphylococcus aureus	30538722
immune response	Staphylococcus aureus	30538722
innate immune response	Staphylococcus aureus	30538722
immune response	Staphylococcus aureus	33133056
innate immune response	Staphylococcus aureus	33133056
immune system process	Staphylococcus aureus	23758654
immune response	Staphylococcus aureus	23758654
innate immune response	Staphylococcus aureus	23758654
immune system process	Staphylococcus aureus	20679445
immune response	Staphylococcus aureus	20679445
innate immune response	Staphylococcus aureus	20679445
immune system process	Staphylococcus aureus	26406588
immune response	Staphylococcus aureus	26406588
innate immune response	Staphylococcus aureus	26406588
immune system process	Staphylococcus aureus	32898838
immune response	Staphylococcus aureus	32898838
innate immune response	Staphylococcus aureus	32898838
immune system process	Staphylococcus aureus	29180836
immune response	Staphylococcus aureus	29180836
innate immune response	Staphylococcus aureus	29180836
immune system process	Staphylococcus aureus	31142220
immune response	Staphylococcus aureus	31142220
innate immune response	Staphylococcus aureus	31142220
immune system process	Staphylococcus aureus	27881292
immune response	Staphylococcus aureus	27881292
innate immune response	Staphylococcus aureus	27881292
immune system process	Staphylococcus aureus	26808444
immune response	Staphylococcus aureus	26808444
innate immune response	Staphylococcus aureus	26808444
innate immune response	Staphylococcus aureus	26194630
immune system process	Staphylococcus aureus	32038656
immune response	Staphylococcus aureus	32038656
innate immune response	Staphylococcus aureus	32038656
immune system process	Staphylococcus aureus	30439342
immune response	Staphylococcus aureus	30439342
innate immune response	Staphylococcus aureus	30439342
immune system process	Staphylococcus aureus	32719153
immune response	Staphylococcus aureus	32719153
innate immune response	Staphylococcus aureus	32719153
immune system process	Staphylococcus aureus	29378030
immune response	Staphylococcus aureus	29378030
innate immune response	Staphylococcus aureus	29378030
immune system process	Staphylococcus aureus	18021900
immune response	Staphylococcus aureus	18021900
innate immune response	Staphylococcus aureus	18021900
immune system process	Staphylococcus aureus	25520503
immune response	Staphylococcus aureus	25520503
innate immune response	Staphylococcus aureus	25520503
immune system process	Staphylococcus aureus	32549980
immune response	Staphylococcus aureus	32549980
innate immune response	Staphylococcus aureus	32549980
immune system process	Staphylococcus aureus	29518426
immune response	Staphylococcus aureus	29518426
innate immune response	Staphylococcus aureus	29518426
immune system process	Staphylococcus aureus	24766896
immune response	Staphylococcus aureus	24766896
innate immune response	Staphylococcus aureus	24766896
immune system process	Staphylococcus aureus	25612191
immune response	Staphylococcus aureus	25612191
innate immune response	Staphylococcus aureus	25612191
immune system process	Staphylococcus aureus	10891453
immune response	Staphylococcus aureus	10891453
innate immune response	Staphylococcus aureus	10891453
immune system process	Staphylococcus aureus	26143532
immune response	Staphylococcus aureus	26143532
innate immune response	Staphylococcus aureus	26143532
immune system process	Staphylococcus aureus	27459697
immune response	Staphylococcus aureus	27459697
innate immune response	Staphylococcus aureus	27459697
immune system process	Staphylococcus aureus	33042139
immune response	Staphylococcus aureus	33042139
innate immune response	Staphylococcus aureus	33042139
immune system process	Staphylococcus aureus	24086711
immune response	Staphylococcus aureus	24086711
innate immune response	Staphylococcus aureus	24086711
immune response	Staphylococcus aureus	32842641
innate immune response	Staphylococcus aureus	32842641
immune system process	Staphylococcus aureus	32752944
immune response	Staphylococcus aureus	32752944
innate immune response	Staphylococcus aureus	32752944
immune system process	Staphylococcus aureus	32076081
immune response	Staphylococcus aureus	32076081
innate immune response	Staphylococcus aureus	32076081
immune system process	Staphylococcus aureus	25439274
immune response	Staphylococcus aureus	25439274
innate immune response	Staphylococcus aureus	25439274
immune system process	Staphylococcus aureus	28976923
immune response	Staphylococcus aureus	28976923
innate immune response	Staphylococcus aureus	28976923
immune system process	Staphylococcus aureus	31434242
immune response	Staphylococcus aureus	31434242
innate immune response	Staphylococcus aureus	31434242
immune system process	Staphylococcus aureus	22634614
immune response	Staphylococcus aureus	22634614
innate immune response	Staphylococcus aureus	22634614
immune system process	Staphylococcus aureus	31798571
immune response	Staphylococcus aureus	31798571
innate immune response	Staphylococcus aureus	31798571
immune system process	Staphylococcus aureus	23599317
immune response	Staphylococcus aureus	23599317
innate immune response	Staphylococcus aureus	23599317
immune system process	Staphylococcus aureus	22232709
immune response	Staphylococcus aureus	22232709
innate immune response	Staphylococcus aureus	22232709
immune system process	Staphylococcus aureus	27739485
immune response	Staphylococcus aureus	27739485
innate immune response	Staphylococcus aureus	27739485
immune system process	Staphylococcus aureus	31817302
immune response	Staphylococcus aureus	31817302
innate immune response	Staphylococcus aureus	31817302
immune system process	Staphylococcus aureus	29730580
immune response	Staphylococcus aureus	29730580
innate immune response	Staphylococcus aureus	29730580
immune system process	Staphylococcus aureus	31490992
immune response	Staphylococcus aureus	31490992
innate immune response	Staphylococcus aureus	31490992
immune system process	Staphylococcus aureus	27077833
immune response	Staphylococcus aureus	27077833
innate immune response	Staphylococcus aureus	27077833
immune system process	Staphylococcus aureus	28324534
immune response	Staphylococcus aureus	28324534
innate immune response	Staphylococcus aureus	28324534
immune system process	Staphylococcus aureus	22792069
immune response	Staphylococcus aureus	22792069
innate immune response	Staphylococcus aureus	22792069
immune system process	Staphylococcus aureus	27402695
immune response	Staphylococcus aureus	27402695
innate immune response	Staphylococcus aureus	27402695
immune response	Staphylococcus aureus	22290938
innate immune response	Staphylococcus aureus	22290938
immune response	Staphylococcus aureus	27819066
innate immune response	Staphylococcus aureus	27819066
immune response	Staphylococcus aureus	30124884
innate immune response	Staphylococcus aureus	30124884
immune system process	Staphylococcus aureus	32046209
immune response	Staphylococcus aureus	32046209
innate immune response	Staphylococcus aureus	32046209
immune system process	Staphylococcus aureus	25017883
immune response	Staphylococcus aureus	25017883
innate immune response	Staphylococcus aureus	25017883
immune system process	Staphylococcus aureus	18716664
immune response	Staphylococcus aureus	18716664
innate immune response	Staphylococcus aureus	18716664
immune system process	Staphylococcus aureus	28536677
immune response	Staphylococcus aureus	28536677
innate immune response	Staphylococcus aureus	28536677
immune system process	Staphylococcus aureus	32664360
immune response	Staphylococcus aureus	32664360
innate immune response	Staphylococcus aureus	32664360
immune system process	Staphylococcus aureus	27810644
immune response	Staphylococcus aureus	27810644
innate immune response	Staphylococcus aureus	27810644
immune system process	Staphylococcus aureus	23847107
immune response	Staphylococcus aureus	23847107
innate immune response	Staphylococcus aureus	23847107
innate immune response	Staphylococcus aureus	18981407
immune system process	Staphylococcus aureus	21135168
immune response	Staphylococcus aureus	21135168
innate immune response	Staphylococcus aureus	21135168
immune system process	Staphylococcus aureus	24434259
immune response	Staphylococcus aureus	24434259
innate immune response	Staphylococcus aureus	24434259
immune system process	Staphylococcus aureus	30766531
immune response	Staphylococcus aureus	30766531
innate immune response	Staphylococcus aureus	30766531
immune system process	Staphylococcus aureus	25883989
immune response	Staphylococcus aureus	25883989
innate immune response	Staphylococcus aureus	25883989
immune system process	Staphylococcus aureus	20375580
immune response	Staphylococcus aureus	20375580
innate immune response	Staphylococcus aureus	20375580
immune system process	Staphylococcus aureus	24895313
immune response	Staphylococcus aureus	24895313
innate immune response	Staphylococcus aureus	24895313
immune system process	Staphylococcus aureus	25225262
immune response	Staphylococcus aureus	25225262
innate immune response	Staphylococcus aureus	25225262
immune system process	Staphylococcus aureus	33281881
immune response	Staphylococcus aureus	33281881
innate immune response	Staphylococcus aureus	33281881
immune system process	Staphylococcus aureus	21844299
immune response	Staphylococcus aureus	21844299
innate immune response	Staphylococcus aureus	21844299
immune system process	Staphylococcus aureus	18560588
immune response	Staphylococcus aureus	18560588
innate immune response	Staphylococcus aureus	18560588
immune system process	Staphylococcus aureus	31279155
immune response	Staphylococcus aureus	31279155
innate immune response	Staphylococcus aureus	31279155
immune response	Staphylococcus aureus	28859309
innate immune response	Staphylococcus aureus	28859309
immune system process	Staphylococcus aureus	25637350
immune response	Staphylococcus aureus	25637350
innate immune response	Staphylococcus aureus	25637350
immune response	Staphylococcus aureus	32906840
innate immune response	Staphylococcus aureus	32906840
immune system process	Staphylococcus aureus	25802056
immune response	Staphylococcus aureus	25802056
innate immune response	Staphylococcus aureus	25802056
immune system process	Staphylococcus aureus	25204648
immune response	Staphylococcus aureus	25204648
innate immune response	Staphylococcus aureus	25204648
immune system process	Staphylococcus aureus	16461344
immune response	Staphylococcus aureus	16461344
innate immune response	Staphylococcus aureus	16461344
immune system process	Staphylococcus aureus	28386604
immune response	Staphylococcus aureus	28386604
innate immune response	Staphylococcus aureus	28386604
immune system process	Staphylococcus aureus	17978010
immune response	Staphylococcus aureus	17978010
innate immune response	Staphylococcus aureus	17978010
immune system process	Staphylococcus aureus	19787708
immune response	Staphylococcus aureus	19787708
innate immune response	Staphylococcus aureus	19787708
immune system process	Staphylococcus aureus	30779913
immune response	Staphylococcus aureus	30779913
innate immune response	Staphylococcus aureus	30779913
immune system process	Staphylococcus aureus	31341107
immune response	Staphylococcus aureus	31341107
innate immune response	Staphylococcus aureus	31341107
immune system process	Staphylococcus aureus	33216751
immune response	Staphylococcus aureus	33216751
innate immune response	Staphylococcus aureus	33216751
immune system process	Staphylococcus aureus	31064834
immune response	Staphylococcus aureus	31064834
innate immune response	Staphylococcus aureus	31064834
immune system process	Staphylococcus aureus	18160713
immune response	Staphylococcus aureus	18160713
innate immune response	Staphylococcus aureus	18160713
immune system process	Staphylococcus aureus	20483752
immune response	Staphylococcus aureus	20483752
innate immune response	Staphylococcus aureus	20483752
immune system process	Staphylococcus aureus	32209459
immune response	Staphylococcus aureus	32209459
innate immune response	Staphylococcus aureus	32209459
immune system process	Staphylococcus aureus	16520379
immune response	Staphylococcus aureus	16520379
innate immune response	Staphylococcus aureus	16520379
immune system process	Staphylococcus aureus	31548586
immune response	Staphylococcus aureus	31548586
innate immune response	Staphylococcus aureus	31548586
immune system process	Staphylococcus aureus	28025545
immune response	Staphylococcus aureus	28025545
innate immune response	Staphylococcus aureus	28025545
immune system process	Staphylococcus aureus	22473605
immune response	Staphylococcus aureus	22473605
innate immune response	Staphylococcus aureus	22473605
immune system process	Staphylococcus aureus	27010826
immune response	Staphylococcus aureus	27010826
innate immune response	Staphylococcus aureus	27010826
immune system process	Staphylococcus aureus	24040145
immune response	Staphylococcus aureus	24040145
innate immune response	Staphylococcus aureus	24040145
immune system process	Staphylococcus aureus	19546195
immune response	Staphylococcus aureus	19546195
innate immune response	Staphylococcus aureus	19546195
immune system process	Staphylococcus aureus	31612151
immune response	Staphylococcus aureus	31612151
innate immune response	Staphylococcus aureus	31612151
immune response	Staphylococcus aureus	29705830
innate immune response	Staphylococcus aureus	29705830
immune system process	Staphylococcus aureus	20133867
immune response	Staphylococcus aureus	20133867
innate immune response	Staphylococcus aureus	20133867
immune system process	Staphylococcus aureus	31964196
immune response	Staphylococcus aureus	31964196
innate immune response	Staphylococcus aureus	31964196
immune system process	Staphylococcus aureus	31274832
immune response	Staphylococcus aureus	31274832
innate immune response	Staphylococcus aureus	31274832
immune system process	Staphylococcus aureus	28424690
immune response	Staphylococcus aureus	28424690
innate immune response	Staphylococcus aureus	28424690
immune response	Staphylococcus aureus	23766538
innate immune response	Staphylococcus aureus	23766538
immune system process	Staphylococcus aureus	24409186
immune response	Staphylococcus aureus	24409186
innate immune response	Staphylococcus aureus	24409186
immune system process	Staphylococcus aureus	20062962
immune response	Staphylococcus aureus	20062962
innate immune response	Staphylococcus aureus	20062962
innate immune response	Staphylococcus aureus	25211214
immune system process	Staphylococcus aureus	29170663
immune response	Staphylococcus aureus	29170663
innate immune response	Staphylococcus aureus	29170663
immune system process	Staphylococcus aureus	19424507
immune response	Staphylococcus aureus	19424507
innate immune response	Staphylococcus aureus	19424507
immune response	Staphylococcus aureus	20732993
innate immune response	Staphylococcus aureus	20732993
immune system process	Staphylococcus aureus	27663549
immune response	Staphylococcus aureus	27663549
innate immune response	Staphylococcus aureus	27663549
immune system process	Staphylococcus aureus	33117399
immune response	Staphylococcus aureus	33117399
innate immune response	Staphylococcus aureus	33117399
immune system process	Staphylococcus aureus	31038735
immune response	Staphylococcus aureus	31038735
innate immune response	Staphylococcus aureus	31038735
immune system process	Staphylococcus aureus	21366518
immune response	Staphylococcus aureus	21366518
innate immune response	Staphylococcus aureus	21366518
immune system process	Staphylococcus aureus	25658712
immune response	Staphylococcus aureus	25658712
innate immune response	Staphylococcus aureus	25658712
immune system process	Staphylococcus aureus	27506163
immune response	Staphylococcus aureus	27506163
innate immune response	Staphylococcus aureus	27506163
immune system process	Staphylococcus aureus	16061696
immune response	Staphylococcus aureus	16061696
innate immune response	Staphylococcus aureus	16061696
immune system process	Staphylococcus aureus	22962685
immune response	Staphylococcus aureus	22962685
innate immune response	Staphylococcus aureus	22962685
immune response	Staphylococcus aureus	32407390
innate immune response	Staphylococcus aureus	32407390
immune system process	Staphylococcus aureus	26288743
immune response	Staphylococcus aureus	26288743
innate immune response	Staphylococcus aureus	26288743
immune system process	Staphylococcus aureus	28510031
immune response	Staphylococcus aureus	28510031
innate immune response	Staphylococcus aureus	28510031
immune response	Staphylococcus aureus	25359465
innate immune response	Staphylococcus aureus	25359465
innate immune response	Staphylococcus aureus	28893918
immune system process	Staphylococcus aureus	29470918
immune response	Staphylococcus aureus	29470918
innate immune response	Staphylococcus aureus	29470918
immune system process	Staphylococcus aureus	28993774
immune response	Staphylococcus aureus	28993774
innate immune response	Staphylococcus aureus	28993774
immune system process	Staphylococcus aureus	30104262
immune response	Staphylococcus aureus	30104262
innate immune response	Staphylococcus aureus	30104262
immune system process	Staphylococcus aureus	25585381
immune response	Staphylococcus aureus	25585381
innate immune response	Staphylococcus aureus	25585381
immune system process	Staphylococcus aureus	19237602
immune response	Staphylococcus aureus	19237602
innate immune response	Staphylococcus aureus	19237602
immune system process	Staphylococcus aureus	22048835
immune response	Staphylococcus aureus	22048835
innate immune response	Staphylococcus aureus	22048835
immune system process	Staphylococcus aureus	33254502
immune response	Staphylococcus aureus	33254502
innate immune response	Staphylococcus aureus	33254502
immune system process	Staphylococcus aureus	17447841
immune response	Staphylococcus aureus	17447841
innate immune response	Staphylococcus aureus	17447841
immune system process	Staphylococcus aureus	20374494
immune response	Staphylococcus aureus	20374494
innate immune response	Staphylococcus aureus	20374494
immune system process	Staphylococcus aureus	31384522
immune response	Staphylococcus aureus	31384522
innate immune response	Staphylococcus aureus	31384522
immune system process	Staphylococcus aureus	25162221
immune response	Staphylococcus aureus	25162221
innate immune response	Staphylococcus aureus	25162221
immune system process	Staphylococcus aureus	22593622
immune response	Staphylococcus aureus	22593622
innate immune response	Staphylococcus aureus	22593622
innate immune response	Staphylococcus aureus	22072971
immune system process	Staphylococcus aureus	19865528
immune response	Staphylococcus aureus	19865528
innate immune response	Staphylococcus aureus	19865528
immune system process	Staphylococcus aureus	25590311
immune response	Staphylococcus aureus	25590311
innate immune response	Staphylococcus aureus	25590311
immune system process	Staphylococcus aureus	18833296
immune response	Staphylococcus aureus	18833296
innate immune response	Staphylococcus aureus	18833296
immune system process	Staphylococcus aureus	29115600
immune response	Staphylococcus aureus	29115600
innate immune response	Staphylococcus aureus	29115600
immune system process	Staphylococcus aureus	31040323
immune response	Staphylococcus aureus	31040323
innate immune response	Staphylococcus aureus	31040323
immune system process	Staphylococcus aureus	24719333
immune response	Staphylococcus aureus	24719333
innate immune response	Staphylococcus aureus	24719333
