Gene Ontology	Bacteria	Paper ID
myeloid leukocyte differentiation	Staphylococcus aureus	30546074
immune system process	Staphylococcus aureus	30546074
immune system development	Staphylococcus aureus	30546074
leukocyte differentiation	Staphylococcus aureus	30546074
myeloid cell differentiation	Staphylococcus aureus	30546074
granulocyte differentiation	Staphylococcus aureus	30546074
hemopoiesis	Staphylococcus aureus	30503706
hematopoietic or lymphoid organ development	Staphylococcus aureus	30503706
myeloid leukocyte differentiation	Staphylococcus aureus	30503706
immune system process	Staphylococcus aureus	30503706
immune system development	Staphylococcus aureus	30503706
leukocyte differentiation	Staphylococcus aureus	30503706
myeloid cell differentiation	Staphylococcus aureus	30503706
granulocyte differentiation	Staphylococcus aureus	30503706
hemopoiesis	Staphylococcus aureus	33502243
hematopoietic or lymphoid organ development	Staphylococcus aureus	33502243
myeloid leukocyte differentiation	Staphylococcus aureus	33502243
immune system process	Staphylococcus aureus	33502243
immune system development	Staphylococcus aureus	33502243
leukocyte differentiation	Staphylococcus aureus	33502243
myeloid cell differentiation	Staphylococcus aureus	33502243
granulocyte differentiation	Staphylococcus aureus	33502243
hemopoiesis	Staphylococcus aureus	25288370
hematopoietic or lymphoid organ development	Staphylococcus aureus	25288370
myeloid leukocyte differentiation	Staphylococcus aureus	25288370
immune system process	Staphylococcus aureus	25288370
immune system development	Staphylococcus aureus	25288370
leukocyte differentiation	Staphylococcus aureus	25288370
myeloid cell differentiation	Staphylococcus aureus	25288370
granulocyte differentiation	Staphylococcus aureus	25288370
hemopoiesis	Staphylococcus aureus	18621876
hematopoietic or lymphoid organ development	Staphylococcus aureus	18621876
myeloid leukocyte differentiation	Staphylococcus aureus	18621876
immune system process	Staphylococcus aureus	18621876
immune system development	Staphylococcus aureus	18621876
leukocyte differentiation	Staphylococcus aureus	18621876
myeloid cell differentiation	Staphylococcus aureus	18621876
granulocyte differentiation	Staphylococcus aureus	18621876
hemopoiesis	Staphylococcus aureus	20708598
hematopoietic or lymphoid organ development	Staphylococcus aureus	20708598
myeloid leukocyte differentiation	Staphylococcus aureus	20708598
immune system process	Staphylococcus aureus	20708598
immune system development	Staphylococcus aureus	20708598
leukocyte differentiation	Staphylococcus aureus	20708598
myeloid cell differentiation	Staphylococcus aureus	20708598
granulocyte differentiation	Staphylococcus aureus	20708598
hemopoiesis	Staphylococcus aureus	28819457
hematopoietic or lymphoid organ development	Staphylococcus aureus	28819457
myeloid leukocyte differentiation	Staphylococcus aureus	28819457
immune system process	Staphylococcus aureus	28819457
immune system development	Staphylococcus aureus	28819457
leukocyte differentiation	Staphylococcus aureus	28819457
myeloid cell differentiation	Staphylococcus aureus	28819457
granulocyte differentiation	Staphylococcus aureus	28819457
hemopoiesis	Staphylococcus aureus	20675588
hematopoietic or lymphoid organ development	Staphylococcus aureus	20675588
myeloid leukocyte differentiation	Staphylococcus aureus	20675588
immune system process	Staphylococcus aureus	20675588
immune system development	Staphylococcus aureus	20675588
leukocyte differentiation	Staphylococcus aureus	20675588
myeloid cell differentiation	Staphylococcus aureus	20675588
granulocyte differentiation	Staphylococcus aureus	20675588
hemopoiesis	influenza virus	23708119
hematopoietic or lymphoid organ development	influenza virus	23708119
myeloid leukocyte differentiation	influenza virus	23708119
immune system process	influenza virus	23708119
immune system development	influenza virus	23708119
leukocyte differentiation	influenza virus	23708119
myeloid cell differentiation	influenza virus	23708119
granulocyte differentiation	influenza virus	23708119
hemopoiesis	influenza virus	26067826
hematopoietic or lymphoid organ development	influenza virus	26067826
myeloid leukocyte differentiation	influenza virus	26067826
immune system process	influenza virus	26067826
immune system development	influenza virus	26067826
leukocyte differentiation	influenza virus	26067826
myeloid cell differentiation	influenza virus	26067826
granulocyte differentiation	influenza virus	26067826
hemopoiesis	influenza virus	30431072
hematopoietic or lymphoid organ development	influenza virus	30431072
myeloid leukocyte differentiation	influenza virus	30431072
immune system process	influenza virus	30431072
immune system development	influenza virus	30431072
leukocyte differentiation	influenza virus	30431072
myeloid cell differentiation	influenza virus	30431072
granulocyte differentiation	influenza virus	30431072
neutrophil activation	Streptococcus pneumoniae	32714913
granulocyte activation	Streptococcus pneumoniae	32714913
neutrophil activation involved in immune response	Streptococcus pneumoniae	32714913
myeloid leukocyte activation	Streptococcus pneumoniae	32714913
immune effector process	Streptococcus pneumoniae	32714913
cell activation involved in immune response	Streptococcus pneumoniae	32714913
myeloid cell activation involved in immune response	Streptococcus pneumoniae	32714913
immune system process	Streptococcus pneumoniae	32714913
leukocyte activation involved in immune response	Streptococcus pneumoniae	32714913
immune response	Streptococcus pneumoniae	32714913
leukocyte activation	Streptococcus pneumoniae	32714913
neutrophil activation	Staphylococcus aureus	32714913
granulocyte activation	Staphylococcus aureus	32714913
neutrophil activation involved in immune response	Staphylococcus aureus	32714913
myeloid leukocyte activation	Staphylococcus aureus	32714913
immune effector process	Staphylococcus aureus	32714913
cell activation involved in immune response	Staphylococcus aureus	32714913
myeloid cell activation involved in immune response	Staphylococcus aureus	32714913
immune system process	Staphylococcus aureus	32714913
leukocyte activation involved in immune response	Staphylococcus aureus	32714913
immune response	Staphylococcus aureus	32714913
leukocyte activation	Staphylococcus aureus	32714913
neutrophil activation	Staphylococcus aureus	32843610
granulocyte activation	Staphylococcus aureus	32843610
neutrophil activation involved in immune response	Staphylococcus aureus	32843610
myeloid leukocyte activation	Staphylococcus aureus	32843610
immune effector process	Staphylococcus aureus	32843610
cell activation involved in immune response	Staphylococcus aureus	32843610
myeloid cell activation involved in immune response	Staphylococcus aureus	32843610
immune system process	Staphylococcus aureus	32843610
leukocyte activation involved in immune response	Staphylococcus aureus	32843610
immune response	Staphylococcus aureus	32843610
leukocyte activation	Staphylococcus aureus	32843610
neutrophil activation	Staphylococcus aureus	32575108
granulocyte activation	Staphylococcus aureus	32575108
neutrophil activation involved in immune response	Staphylococcus aureus	32575108
myeloid leukocyte activation	Staphylococcus aureus	32575108
immune effector process	Staphylococcus aureus	32575108
cell activation involved in immune response	Staphylococcus aureus	32575108
myeloid cell activation involved in immune response	Staphylococcus aureus	32575108
immune system process	Staphylococcus aureus	32575108
leukocyte activation involved in immune response	Staphylococcus aureus	32575108
immune response	Staphylococcus aureus	32575108
leukocyte activation	Staphylococcus aureus	32575108
neutrophil activation	Staphylococcus aureus	33371165
granulocyte activation	Staphylococcus aureus	33371165
neutrophil activation involved in immune response	Staphylococcus aureus	33371165
immune effector process	Staphylococcus aureus	33371165
cell activation involved in immune response	Staphylococcus aureus	33371165
